COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
MMV665831,CCOC(=O)c1c(NC(=O)c2ccccc2)sc2c(O)c(CN(CC)CC)ccc12,6.69,MMV,426.16,4.88,2,6,78.87,8
MMV011099,Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,6.62,MMV,275.12,3.33,1,5,55.11,2
MMV000642,COc1ccc(NC(=O)C2c3ccccc3C(=O)N(CC(C)C)C2c2cccs2)cc1Cl,7.69,MMV,468.13,5.99,1,4,58.64,6
MMV666600,CCOC(=O)c1c(C)n(-c2ccc(Cl)cc2)c2ccc(OC(=O)C=Cc3ccccc3)cc12,6.67,MMV,459.12,6.39,0,5,57.53,6
MMV006172,CN1CCN(c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)CC1,6.85,MMV,368.2,4.88,1,4,31.4,3
MMV006309,CN(C)c1ccc(C=Cc2nc(=O)c3ccccc3o2)cc1,7.29,MMV,292.12,3.42,0,4,46.34,3
MMV006087,CCN(CC)CCNc1ccnc2cc(Cl)ccc12,7.24,MMV,277.13,3.64,1,3,28.16,6
MMV020492,CC1CN(C(=O)c2sc3ccccc3c2Cl)CC(C)O1,7.59,MMV,309.06,3.8,0,3,29.54,1
MMV006455,CCCN(CCC)CC(O)COc1ccccc1C(=O)Nc1ccccc1,6.71,MMV,370.23,3.8,2,4,61.8,11
MMV665782,C=CC12CCN(CC1)C(C(O)c1ccnc3ccc(OC)cc13)C2,7.37,MMV,324.18,3.32,1,4,45.59,4
MMV665876,CCC(c1ccccc1)c1nn2c(-c3cccs3)nnc2s1,6.59,MMV,326.07,4.46,0,6,43.08,4
MMV666023,c1ccc(Cn2c(N=Nc3c(Nc4ccccc4)ccc4ccccc34)nc3ccccc32)cc1,7.43,MMV,453.2,8.4,1,5,54.57,6
MMV009063,OC(CNC1CCCCC1)Cn1c2ccccc2c2ccccc21,6.53,MMV,322.2,4.08,2,3,37.19,5
MMV006558,Cc1cc(C)c2c(c1)OCN(Cc1ccccc1Cl)C2,6.57,MMV,287.11,4.31,0,2,12.47,2
