COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
MMV008455,COc1ccc(C2C(C(=O)Nc3cccc(OC)c3)c3ccccc3C(=O)N2C2CCCCC2)cc1,5.93,MMV,484.24,5.96,1,4,67.87,6
MMV007199,COc1ccccc1N1C(=N)SC(=Cc2ccc(OCc3ccccc3F)cc2)C1=O,6.32,MMV,434.11,5.47,1,5,62.62,6
MMV085471,CCOc1ccc(-n2cc(-c3ccccc3)c3c(SCc4cc(C)ccc4C)ncnc32)cc1,5.77,MMV,465.19,7.4,0,5,39.94,7
MMV665797,CCCCOC(=O)c1ccc(Nc2cc(C)nc3ccc(OC)cc23)cc1,6.23,MMV,364.18,5.25,1,5,60.45,7
MMV006513,c1ccc2c(NCCc3c[nH]c4ccccc34)c3ccccc3nc2c1,6.52,MMV,337.16,5.52,2,2,40.71,4
MMV666095,CCCc1c(C)nc2ccc(Br)cc2c1O,5.92,MMV,279.03,3.96,1,2,33.12,2
MMV665943,Nc1ccc(-c2nc3cc(Cc4ccc5[nH]c(-c6ccc(N)cc6)nc5c4)ccc3[nH]2)cc1,5.85,MMV,430.19,5.53,4,4,109.4,4
MMV019555,c1ccc2c(NCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,6.42,MMV,478.31,7.63,2,4,49.84,9
MMV019741,Cc1ccc(C)c(Cn2c(N3CCC(C(=O)NCc4cccs4)CC3)nc3ccccc32)c1,5.88,MMV,458.21,5.3,1,5,50.16,6
MMV019690,COc1ccc(C2NCCc3c2[nH]c2ccccc32)cc1CN1CCN(c2ccc(F)cc2)CC1,6.03,MMV,470.25,4.87,2,4,43.53,5
MMV000621,CCCCCCC(O)(c1ccc(F)cc1)C(CN1CCOCC1)c1ccccc1,,MMV,399.26,5.1,1,3,32.7,10
MMV008173,COc1cc(OC)cc(N2C(=O)N(Cc3ccc(C(C)(C)C)cc3)c3ccccc3S2(=O)=O)c1,5.84,MMV,480.17,5.34,0,5,76.15,5
MMV019241,O=C(Nc1ccc(-c2nc3cc4ccccc4cc3[nH]2)cc1)c1cccc(Br)c1,6.35,MMV,441.05,6.4,2,2,57.78,3
MMV665783,CCN(CC)CCCNc1ccnc2cc3ccccc3cc12,,MMV,307.2,4.53,1,3,28.16,7
MMV000787,CCCOCc1cc(CN2CCN(c3cccc(Cl)c3)CC2)c(O)c2ncccc12,6.39,MMV,425.19,4.84,1,5,48.83,7
MMV666106,O=C(NC1CCCCC1)C(c1cccs1)N(CCc1ccccc1)C(=O)c1ccco1,5.97,MMV,436.18,5.22,1,4,62.55,8
MMV666022,COc1ccc(C(=O)NC(c2ccccc2Cl)c2cc(Cl)c3cccnc3c2O)cc1,6.08,MMV,452.07,5.78,2,4,71.45,5
MMV498479,CCOC(=O)c1cnc2c(CC)cccc2c1O,,MMV,245.11,2.68,1,4,59.42,3
MMV007396,Cc1ccccc1OCCSc1nc2ccc(NC(=O)c3cccs3)cc2s1,6.16,MMV,426.05,6.09,1,6,51.22,7
MMV000617,COc1ccc(C(O)(CCC(C)C)C(CN2CCOCC2)c2ccc(Cl)cc2)cc1,,MMV,431.22,5.09,1,4,41.93,9
MMV006764,CCOc1c(Br)cc(C2C(C(=O)OC)=CN(C)C=C2C(=O)OC)cc1OC,6.29,MMV,439.06,3.0,0,7,74.3,6
MMV007275,Cc1ccc(F)cc1NC(=O)c1cc(Cl)ccc1Nc1ccccc1,6.27,MMV,354.09,5.78,2,2,41.13,4
MMV007273,COc1cc(-c2nc(-c3ccc(Sc4ccccc4)cc3)c(-c3ccccc3)[nH]2)cc(OC)c1O,6.46,MMV,480.15,7.28,2,5,67.37,7
MMV666026,COc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,,MMV,288.09,3.36,0,4,52.08,2
MMV665923,N=c1c2ccccc2nnn1-c1cccc(C(F)(F)F)c1,,MMV,290.08,2.92,1,4,54.56,1
MMV666025,OC(Cn1nnc2ccccc21)Cn1c2ccc(Br)cc2c2cc(Br)ccc21,5.9,MMV,497.97,5.13,1,5,55.87,4
MMV666060,COc1ccc(CN2CCCC(C(=O)c3ccc(C(F)(F)F)cc3)C2)c(O)c1,,MMV,393.16,4.51,1,4,49.77,5
MMV666597,CCCCCCc1cc2cc(-c3nc4ccccc4[nH]3)c(=Nc3ccccc3C)oc2cc1O,6.26,MMV,451.23,7.35,2,4,74.41,7
MMV007224,Brc1ccc(Nc2nc3ccccc3nc2Nc2ccc(Br)cc2)cc1,5.97,MMV,467.96,6.64,2,4,49.84,4
MMV020912,Cc1ccc(-c2nc3ccccc3o2)cc1NCc1cc(Cc2ccccc2)ccc1O,,MMV,420.18,6.71,2,4,58.29,6
MMV007181,Cc1cc(Nc2ccc(OCc3ccccc3)cc2)nc2cc(O)ccc12,6.16,MMV,356.15,5.57,2,4,54.38,5
MMV007113,c1ccc(C2=Nc3ccccc3N=C(c3ccccc3)c3ccccc32)cc1,6.18,MMV,358.15,6.34,0,2,24.72,2
MMV007228,Cc1cccc(N2C(=O)C3C(C2=O)C2(c4ccccc4)C(=O)C3(c3ccccc3)C(c3ccc4c(c3)OCO4)=C2c2ccc3c(c2)OCO3)c1,6.52,MMV,659.19,6.64,0,7,91.37,5
MMV665972,O=C(Cc1ccccc1)NC(c1ccc(Cl)cc1)c1c(O)ccc2ccccc12,5.94,MMV,401.12,5.65,2,2,49.33,5
MMV073843,CN(C)c1ccc(N=Cc2ccc(N3CCOCC3)cc2)cc1,,MMV,309.18,3.34,0,4,28.07,4
MMV006303,CCN(CC)CCNc1ccnc2cc3ccccc3cc12,6.41,MMV,293.19,4.14,1,3,28.16,6
MMV667490,COc1ccc(C2c3ccc4ccccc4c3Oc3ncn(CCCn4ccnc4)c(=N)c32)cc1OC,5.75,MMV,493.21,5.11,1,8,87.18,7
MMV667492,CN(N=O)C1=C(NC2CCCCC2)C(=O)c2ccccc2C1=O,5.92,MMV,313.14,2.81,1,5,78.84,4
