COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
AfroDb.905,COc1cc2oc(-c3ccccc3)cc(=O)c2c(OC)c1-c1coc(C)c(OC)c1=O,,AfroDb,420.12,4.41,0,7,88.11,5
AfroDb.906,COc1cc2oc(-c3ccccc3)cc(=O)c2c(OC)c1-c1cc(=O)c(OC)c(C)o1,,AfroDb,420.12,4.41,0,7,88.11,5
AfroDb.907,C=C1OC=C(c2c(OC)cc3oc(-c4ccccc4)cc(=O)c3c2O)C1=O,,AfroDb,362.08,3.63,1,6,85.97,3
AfroDb.908,C/C=C1/OC=C(c2c(OC)cc3oc(-c4ccccc4)cc(=O)c3c2O)C1=O,,AfroDb,376.09,4.02,1,6,85.97,3
AfroDb.909,C=C1OC=C(c2c(OC)cc3oc(-c4ccccc4)cc(=O)c3c2OC)C1=O,,AfroDb,376.09,3.93,0,6,74.97,4
AfroDb.910,C/C=C1/OC=C(c2c(OC)cc3oc(-c4ccccc4)cc(=O)c3c2OC)C1=O,,AfroDb,390.11,4.32,0,6,74.97,4
AfroDb.911,COc1cc(-c2coc3cc4c(c(O)c3c2=O)C=CC(C)(C)O4)c(OC)cc1O,,AfroDb,396.12,4.07,2,7,98.36,3
AfroDb.912,COc1cc(OC)c(-c2coc3cc4c(c(O)c3c2=O)C=CC(C)(C)O4)cc1OC,,AfroDb,410.14,4.38,1,7,87.36,4
AfroDb.914,COc1cc(-c2coc3cc4c(c(OC(C)=O)c3c2=O)C=CC(C)(C)O4)c(O)cc1OC(C)=O,,AfroDb,466.13,4.21,1,9,121.5,4
AfroDb.915,COc1cc2c(cc1OC)[C@]1(O)C(=O)c3ccc4c(c3O[C@H]1CO2)C[C@H](C(C)=O)O4,,AfroDb,412.12,1.82,1,8,100.52,3
AfroDb.916,CO/C(=C\C(=O)c1ccccc1)c1c(OC)cc2c(c1OC)C=CC(C)(C)O2,,AfroDb,380.16,4.76,0,5,53.99,6
AfroDb.917,O=C1c2ccccc2C(=O)c2cnccc21,,AfroDb,209.05,1.86,0,3,47.03,0
AfroDb.921,CN1C2=CC(O)=c3ccccc3=N[C@@H]2c2ccccc21,,AfroDb,262.11,2.06,1,3,35.83,0
AfroDb.922,Cn1c2c3ccccc3nc-2c(-n2c3ccccc3c3nc4ccccc4cc32)c2ccccc21,,AfroDb,448.17,7.48,0,4,35.64,1
AfroDb.923,Cn1cc2c3ccccc3nc-2c2ccccc21,,AfroDb,232.1,3.83,0,2,17.82,0
AfroDb.924,Cn1c2c3c(nc-2c(-c2c4nc5ccccc5c-4n(C)c4ccccc24)c2ccccc21)CC=CC3,,AfroDb,464.2,7.14,0,4,35.64,1
AfroDb.925,Cn1c2nc3ccccc3c-2cc2ccccc21,,AfroDb,232.1,3.83,0,2,17.82,0
AfroDb.926,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@]1(CO1)[C@@H]2C/C=C(\C=O)CC=O,,AfroDb,318.22,4.1,0,3,46.67,5
AfroDb.927,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C=O)CC=O,,AfroDb,302.22,4.89,0,2,34.14,5
AfroDb.928,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C=O)CC(OCC)OCC,,AfroDb,376.3,6.09,0,3,35.53,9
AfroDb.929,C=C[C@](C)(O)CC/C=C(\C)CCC=C(C)C,,AfroDb,222.2,4.4,1,1,20.23,7
AfroDb.930,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1[C@@H]1C=C(C=O)C[C@@H](O)OO1,,AfroDb,334.21,3.95,1,4,55.76,2
AfroDb.931,CC1(C)CCC[C@]2(C)[C@H]3CC=C(C=O)C[C@H](O)[C@]3(C=O)CC[C@@H]12,,AfroDb,318.22,3.69,1,3,54.37,2
AfroDb.932,CC1(C)CCC[C@]2(C)[C@H]3CC=C(C=O)C[C@@H](O)[C@]3(C=O)CC[C@@H]12,,AfroDb,318.22,3.69,1,3,54.37,2
AfroDb.933,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]1(CO1)[C@@H]2C/C=C1\CCOC1=O,,AfroDb,318.22,4.26,0,3,38.83,2
AfroDb.934,COc1cc(/C=C/C(=O)OCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)CO)ccc1O,,AfroDb,634.44,8.44,3,8,122.52,30
AfroDb.935,COc1cc(/C=C/C(=O)OCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COCC(=O)O)OCC(=O)O)ccc1OCC(=O)O,,AfroDb,808.46,8.41,3,11,201.42,39
AfroDb.936,COc1cc(/C=C/C(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](O)CO)ccc1O,,AfroDb,942.79,17.02,3,8,122.52,52
AfroDb.937,COc1cc(/C=C/C(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COCC(=O)O)OCC(=O)O)ccc1OCC(=O)O,,AfroDb,1116.81,16.99,3,11,201.42,61
AfroDb.938,O=C1c2c(O)cc(O)cc2O[C@@H](c2cccc(O)c2O)[C@@H]1O[C@H]1OC[C@H](O)[C@@H](O)[C@H]1O,,AfroDb,436.1,-0.35,7,11,186.37,3
AfroDb.939,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1[C@H]1OC[C@H](O)[C@@H](O)[C@H]1O,,AfroDb,420.11,-0.08,7,10,177.14,2
AfroDb.940,O=C1c2c(O)cc(O)cc2O[C@@H](c2ccc(O)c(O)c2)[C@H]1[C@H]1OC[C@H](O)[C@@H](O)[C@H]1O,,AfroDb,420.11,-0.08,7,10,177.14,2
AfroDb.941,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@@H]1[C@@H]1OC[C@@H](O)[C@H](O)[C@@H]1O,,AfroDb,420.11,-0.08,7,10,177.14,2
AfroDb.942,COc1ccc2c(c1O)-c1c(OCO)c(OCO)cc3c1[C@H](C2)N(C)CC3,,AfroDb,373.15,1.81,3,7,91.62,5
AfroDb.943,COc1ccc2c(c1O)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,,AfroDb,341.16,3.17,1,5,51.16,3
AfroDb.944,COc1cc2c(cc1O)C[C@H]1c3c(cc(O)c(OC)c3-2)CCN1C,,AfroDb,327.15,2.87,2,5,62.16,2
AfroDb.945,COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,,AfroDb,355.18,3.47,0,5,40.16,4
AfroDb.946,COc1cc2c(cc1O)C[C@@H]1NCCc3cc(OCO)c(OCO)c-2c31,,AfroDb,359.14,1.47,4,7,100.41,5
AfroDb.947,COc1cc2c(cc1OC)-c1c(OCO)c(OCO)cc3c1[C@H](C2)N(C)CC3,,AfroDb,387.17,2.11,2,7,80.62,6
AfroDb.948,COc1cc2c(cc1O)C[C@@H]1NCCc3c(OC)c(OCO)c(OCO)c-2c31,,AfroDb,389.15,1.48,4,8,109.64,6
AfroDb.949,C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,AfroDb,426.39,8.02,1,1,20.23,0
AfroDb.950,C[C@H]1[C@H](C)CC[C@]2(CO)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,AfroDb,442.38,7.0,2,2,40.46,1
AfroDb.951,C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,AfroDb,456.36,7.09,2,2,57.53,1
AfroDb.952,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]2C1,,AfroDb,426.39,8.17,1,1,20.23,0
AfroDb.953,CC1(C)CC[C@]2(CO)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]2C1,,AfroDb,442.38,7.14,2,2,40.46,1
AfroDb.954,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]2C1,,AfroDb,456.36,7.23,2,2,57.53,1
AfroDb.955,CC(=O)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,AfroDb,428.37,7.04,1,2,37.3,1
AfroDb.956,CC(=O)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,AfroDb,444.36,6.01,2,3,57.53,2
AfroDb.957,CC(=O)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,AfroDb,458.34,6.1,2,3,74.6,2
AfroDb.959,CC[C@H](CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C)C(C)C,,AfroDb,414.39,8.02,1,1,20.23,6
AfroDb.960,CC[C@H](/C=C/[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C)C(C)C,,AfroDb,412.37,7.8,1,1,20.23,5
AfroDb.961,CC[C@@H](CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C)C(C)=O,,AfroDb,414.35,6.96,1,2,37.3,6
AfroDb.962,CC(C)[C@](O)(C=O)CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C,,AfroDb,430.34,5.93,2,3,57.53,6
AfroDb.963,CC(C)[C@](C=O)(CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C)OO,,AfroDb,446.34,6.43,2,4,66.76,7
AfroDb.964,N#C[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,,AfroDb,295.11,-0.93,4,7,123.17,4
AfroDb.965,O=C(O)c1cc(O)c(O)c(O)c1,,AfroDb,170.02,0.5,4,4,97.99,1
AfroDb.966,O=C(O[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]1O)c1cc(O)c(O)c(O)c1,,AfroDb,332.07,-2.24,7,10,177.14,3
AfroDb.967,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O)c1cc(O)c(O)c(O)c1,,AfroDb,484.09,-1.26,9,14,243.9,5
AfroDb.968,O=C1C(O)=C(c2ccc(O)c(O)c2)Cc2cc(O)cc(O)c21,,AfroDb,300.06,2.22,5,6,118.22,1
AfroDb.969,C[C@@H]1CO[C@](O)(OC2=C(c3ccc(O)c(O)c3)Cc3cc(O)cc(O)c3C2=O)[C@H](O)[C@H]1O,,AfroDb,446.12,0.71,7,10,177.14,3
AfroDb.970,O=C1C(O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)=C(c2ccc(O)c(O)c2)Cc2cc(O)cc(O)c21,,AfroDb,432.11,0.11,7,10,177.14,4
AfroDb.971,O=C1C(O[C@@H]2CC[C@@H](O)[C@H](O)[C@H]2O)=C(c2ccc(O)c(O)c2)Cc2cc(O)cc(O)c21,,AfroDb,430.13,0.92,7,9,167.91,3
AfroDb.972,O=C(OC[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1,,AfroDb,616.11,0.44,10,16,277.27,6
AfroDb.973,O=C(OC[C@@H]1O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1,,AfroDb,600.11,0.74,9,15,257.04,6
AfroDb.974,CC1(C)C=Cc2c(ccc3c2OC[C@@H]2c4c(CO)cc(O)cc4O[C@@H]32)O1,,AfroDb,352.13,3.68,2,5,68.15,1
AfroDb.975,O=C(O[C@@H]1[C@@H](O)[C@H](O)[C@@H](OC2=C(c3cccc(O)c3)Cc3cc(O)cc(O)c3C2=O)O[C@H]1CO)c1cc(O)c(O)c(O)c1,,AfroDb,598.13,0.75,9,14,243.9,6
AfroDb.976,COc1c(O)cc2c(c1O)[C@H]1O[C@@H](COC(=O)/C=C/c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]1OC2=O,,AfroDb,490.11,0.47,6,12,192.44,5
AfroDb.977,O=c1c(O)c(-c2ccc(O)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)oc2cc(O[C@H]3CO[C@H](C(O)O)[C@@H](O)[C@H]3O)cc(O)c12,,AfroDb,626.15,-3.07,11,17,289.66,7
AfroDb.979,C[C@H]1O[C@@H](Oc2cc(-c3oc4cc(O[C@H]5CO[C@H](C(O)O)[C@@H](O)[C@H]5O)cc(O)c4c(=O)c3O)ccc2O)[C@H](O)[C@@H](O)[C@@H]1O,,AfroDb,610.15,-2.04,10,16,269.43,6
AfroDb.980,C[C@@]12CCC(=O)[C@](C)(CO)[C@H]1CC[C@]13C[C@@H]4[C@H](C[C@@H]12)[C@@H]4C3,,AfroDb,288.21,3.43,1,2,37.3,1
